      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.592      148     /    0    0    0
    0:01.404      351     /    0    0    0
    0:02.224      556     /    0    0    0
    0:03.056      764     /    0    0    0
    0:03.916      979     /    0    0    0
    0:04.788     1197     /    0    0    0
    0:05.616     1404     /    0    0    0
    0:06.408     1602     /    0    0    0
    0:07.200     1800     /    0    0    0
    0:08.016     2004     /    0    0    0
    0:08.852     2213     /    0    0    0
    0:09.688     2422     /    0    0    0
    0:10.552     2638     /    0    0    0
    0:11.404     2851     /    0    0    0
    0:12.200     3050     /    0    0    0
    0:12.988     3247     /    0    0    0
    0:13.792     3448     /    0    0    0
    0:14.632     3658     /    0    0    0
    0:15.488     3872     /    0    0    0
    0:16.328     4082     /    0    0    0
    0:17.184     4296     /    0    0    0
    0:18.008     4502     /    0    0    0
    0:18.792     4698     /    0    0    0
    0:19.588     4897     /    0    0    0
    0:20.400     5100     /    0    0    0
    0:21.260     5315     /    0    0    0
    0:22.116     5529     /    0    0    0
    0:23.016     5754     /    0    0    0
    0:23.788     5947     /    0    0    0
    0:24.600     6150     /    0    0    0
    0:25.392     6348     /    0    0    0
    0:26.200     6550     /    0    0    0
    0:27.044     6761     /    0    0    0
    0:27.924     6981     /    0    0    0
    0:28.772     7193     /    0    0    0
    0:29.584     7396     /    0    0    0
    0:30.404     7601     /    0    0    0
    0:31.268     7817     /    0    0    0
    0:32.000     8000     /    0    0    0
    0:32.824     8206     /    0    0    0
    0:33.676     8419     /    0    0    0
    0:34.544     8636     /    0    0    0
    0:35.376     8844     /    0    0    0
    0:36.172     9043     /    0    0    0
    0:37.000     9250     /    0    0    0
    0:37.808     9452     /    0    0    0
    0:38.624     9656     /    0    0    0
    0:39.476     9869     /    0    0    0
    0:40.328    10082     /    0    0    0
    0:41.188    10297     /    0    0    0
    0:41.992    10498     /    0    0    0
    0:42.780    10695     /    0    0    0
    0:43.600    10900     /    0    0    0
    0:44.420    11105     /    0    0    0
    0:45.252    11313     /    0    0    0
    0:46.112    11528     /    0    0    0
    0:46.960    11740     /    0    0    0
    0:47.860    11965     /    0    0    0
    0:48.604    12151     /    0    0    0
    0:49.388    12347     /    0    0    0
    0:50.228    12557     /    0    0    0
    0:51.072    12768     /    0    0    0
    0:51.908    12977     /    0    0    0
    0:52.760    13190     /    0    0    0
    0:53.588    13397     /    0    0    0
    0:54.404    13601     /    0    0    0
    0:55.192    13798     /    0    0    0
    0:55.984    13996     /    0    0    0
    0:56.848    14212     /    0    0    0
    0:57.708    14427     /    0    0    0
    0:58.544    14636     /    0    0    0
    0:59.380    14845     /    0    0    0
    1:00.196    15049     /    0    0    0
    1:01.008    15252     /    0    0    0
    1:01.800    15450     /    0    0    0
    1:02.616    15654     /    0    0    0
    1:03.492    15873     /    0    0    0
    1:04.344    16086     /    0    0    0
    1:05.172    16293     /    0    0    0
    1:05.980    16495     /    0    0    0
    1:06.776    16694     /    0    0    0
    1:07.592    16898     /    0    0    0
    1:08.404    17101     /    0    0    0
    1:09.244    17311     /    0    0    0
    1:10.132    17533     /    0    0    0
    1:10.980    17745     /    0    0    0
    1:11.788    17947     /    0    0    0
    1:12.580    18145     /    0    0    0
    1:13.388    18347     /    0    0    0
    1:14.212    18553     /    0    0    0
    1:15.040    18760     /    0    0    0
    1:15.888    18972     /    0    0    0
    1:16.824    19206     /    0    0    0
    1:17.588    19397     /    0    0    0
    1:18.368    19592     /    0    0    0
    1:19.160    19790     /    0    0    0
    1:19.980    19995     /    0    0    0
    1:20.820    20205     /    0    0    0
    1:21.672    20418     /    0    0    0
    1:22.524    20631     /    0    0    0
    1:23.380    20845     /    0    0    0
    1:24.180    21045     /    0    0    0
    1:24.964    21241     /    0    0    0
    1:25.764    21441     /    0    0    0
    1:26.608    21652     /    0    0    0
    1:27.452    21863     /    0    0    0
    1:28.296    22074     /    0    0    0
    1:29.148    22287     /    0    0    0
    1:29.972    22493     /    0    0    0
    1:30.764    22691     /    0    0    0
    1:31.560    22890     /    0    0    0
    1:32.380    23095     /    0    0    0
    1:33.248    23312     /    0    0    0
    1:34.104    23526     /    0    0    0
    1:34.936    23734     /    0    0    0
    1:35.772    23943     /    0    0    0
    1:36.580    24145     /    0    0    0
    1:37.368    24342     /    0    0    0
    1:38.172    24543     /    0    0    0
    1:39.004    24751     /    0    0    0
    1:39.876    24969     /    0    0    0
    1:40.724    25181     /    0    0    0
    1:41.536    25384     /    0    0    0
    1:42.368    25592     /    0    0    0
    1:43.180    25795     /    0    0    0
    1:43.972    25993     /    0    0    0
    1:44.808    26202     /    0    0    0
    1:45.660    26415     /    0    0    0
    1:46.524    26631     /    0    0    0
    1:47.352    26838     /    0    0    0
    1:48.144    27036     /    0    0    0
    1:48.960    27240     /    0    0    0
    1:49.772    27443     /    0    0    0
    1:50.576    27644     /    0    0    0
    1:51.428    27857     /    0    0    0
    1:52.280    28070     /    0    0    0
    1:53.144    28286     /    0    0    0
    1:53.956    28489     /    0    0    0
    1:54.744    28686     /    0    0    0
    1:55.572    28893     /    0    0    0
    1:56.396    29099     /    0    0    0
    1:57.224    29306     /    0    0    0
    1:58.080    29520     /    0    0    0
    1:58.924    29731     /    0    0    0
    1:59.764    29941     /    0    0    0
    2:00.556    30139     /    0    0    0
    2:01.340    30335     /    0    0    0
    2:02.180    30545     /    0    0    0
    2:03.016    30754     /    0    0    0
    2:03.852    30963     /    0    0    0
    2:04.708    31177     /    0    0    0
    2:05.540    31385     /    0    0    0
    2:06.360    31590     /    0    0    0
    2:07.156    31789     /    0    0    0
    2:07.948    31987     /    0    0    0
    2:08.808    32202     /    0    0    0
    2:09.656    32414     /    0    0    0
    2:10.488    32622     /    0    0    0
    2:11.324    32831     /    0    0    0
    2:12.136    33034     /    0    0    0
    2:12.944    33236     /    0    0    0
    2:13.744    33436     /    0    0    0
    2:14.556    33639     /    0    0    0
    2:15.436    33859     /    0    0    0
    2:16.296    34074     /    0    0    0
    2:17.124    34281     /    0    0    0
    2:17.944    34486     /    0    0    0
    2:18.748    34687     /    0    0    0
    2:19.560    34890     /    0    0    0
    2:20.368    35092     /    0    0    0
    2:21.204    35301     /    0    0    0
    2:22.084    35521     /    0    0    0
    2:22.932    35733     /    0    0    0
    2:23.728    35932     /    0    0    0
    2:24.528    36132     /    0    0    0
    2:25.340    36335     /    0    0    0
    2:26.156    36539     /    0    0    0
    2:26.988    36747     /    0    0    0
    2:27.852    36963     /    0    0    0
    2:28.728    37182     /    0    0    0
    2:29.552    37388     /    0    0    0
    2:30.344    37586     /    0    0    0
    2:31.136    37784     /    0    0    0
    2:31.952    37988     /    0    0    0
    2:32.784    38196     /    0    0    0
    2:33.624    38406     /    0    0    0
    2:34.484    38621     /    0    0    0
    2:35.392    38848     /    0    0    0
    2:36.136    39034     /    0    0    0
    2:36.928    39232     /    0    0    0
    2:37.732    39433     /    0    0    0
    2:38.572    39643     /    0    0    0
    2:39.428    39857     /    0    0    0
    2:40.272    40068     /    0    0    0
    2:41.124    40281     /    0    0    0
    2:41.952    40488     /    0    0    0
    2:42.792    40698     /    0    0    0
    2:43.532    40883     /    0    0    0
    2:44.340    41085     /    0    0    0
    2:45.200    41300     /    0    0    0
    2:46.060    41515     /    0    0    0
    2:46.888    41722     /    0    0    0
    2:47.732    41933     /    0    0    0
    2:48.544    42136     /    0    0    0
    2:49.336    42334     /    0    0    0
    2:50.144    42536     /    0    0    0
    2:50.984    42746     /    0    0    0
    2:51.852    42963     /    0    0    0
    2:52.700    43175     /    0    0    0
    2:53.512    43378     /    0    0    0
    2:54.336    43584     /    0    0    0
    2:55.136    43784     /    0    0    0
    2:55.924    43981     /    0    0    0
    2:56.752    44188     /    0    0    0
    2:57.608    44402     /    0    0    0
    2:58.480    44620     /    0    0    0
    2:59.308    44827     /    0    0    0
    3:00.108    45027     /    0    0    0
    3:00.936    45234     /    0    0    0
    3:01.744    45436     /    0    0    0
    3:02.552    45638     /    0    0    0
    3:03.404    45851     /    0    0    0
    3:04.256    46064     /    0    0    0
    3:05.116    46279     /    0    0    0
    3:05.924    46481     /    0    0    0
    3:06.700    46675     /    0    0    0
    3:07.528    46882     /    0    0    0
    3:08.352    47088     /    0    0    0
    3:09.176    47294     /    0    0    0
    3:10.032    47508     /    0    0    0
    3:10.880    47720     /    0    0    0
    3:11.724    47931     /    0    0    0
    3:12.520    48130     /    0    0    0
    3:13.308    48327     /    0    0    0
    3:14.148    48537     /    0    0    0
    3:14.984    48746     /    0    0    0
    3:15.820    48955     /    0    0    0
    3:16.664    49166     /    0    0    0
    3:17.500    49375     /    0    0    0
    3:18.308    49577     /    0    0    0
    3:19.100    49775     /    0    0    0
    3:19.900    49975     /    0    0    0
    3:20.756    50189     /    0    0    0
    3:21.608    50402     /    0    0    0
    3:22.448    50612     /    0    0    0
    3:23.284    50821     /    0    0    0
    3:24.108    51027     /    0    0    0
    3:24.912    51228     /    0    0    0
    3:25.708    51427     /    0    0    0
    3:26.532    51633     /    0    0    0
    3:27.400    51850     /    0    0    0
    3:28.248    52062     /    0    0    0
    3:29.076    52269     /    0    0    0
    3:29.884    52471     /    0    0    0
    3:30.700    52675     /    0    0    0
    3:31.508    52877     /    0    0    0
    3:32.316    53079     /    0    0    0
    3:33.172    53293     /    0    0    0
    3:34.048    53512     /    0    0    0
    3:34.944    53736     /    0    0    0
    3:35.700    53925     /    0    0    0
    3:36.500    54125     /    0    0    0
    3:37.060    54265     V    2    0    0
    3:37.900    54475     /    0    0    0
    3:38.716    54679     /    0    0    0
    3:39.628    54907     /    0    0    0
    3:40.444    55111     /    0    0    0
    3:41.276    55319     /    0    0    0
    3:42.072    55518     /    0    0    0
    3:42.872    55718     /    0    0    0
    3:43.684    55921     /    0    0    0
    3:44.516    56129     /    0    0    0
    3:45.360    56340     /    0    0    0
    3:46.216    56554     /    0    0    0
    3:47.080    56770     /    0    0    0
    3:47.896    56974     /    0    0    0
    3:48.680    57170     /    0    0    0
    3:49.472    57368     /    0    0    0
    3:50.300    57575     /    0    0    0
    3:51.144    57786     /    0    0    0
    3:51.988    57997     /    0    0    0
    3:52.844    58211     /    0    0    0
    3:53.688    58422     /    0    0    0
    3:54.488    58622     /    0    0    0
    3:55.280    58820     /    0    0    0
    3:56.084    59021     /    0    0    0
    3:56.940    59235     /    0    0    0
    3:57.800    59450     /    0    0    0
    3:58.636    59659     /    0    0    0
    3:59.480    59870     /    0    0    0
    4:00.300    60075     /    0    0    0
    4:01.084    60271     /    0    0    0
    4:01.880    60470     /    0    0    0
    4:02.704    60676     /    0    0    0
    4:03.572    60893     /    0    0    0
    4:04.424    61106     /    0    0    0
    4:05.252    61313     /    0    0    0
    4:06.084    61521     /    0    0    0
    4:06.896    61724     /    0    0    0
    4:07.684    61921     /    0    0    0
    4:08.508    62127     /    0    0    0
    4:09.352    62338     /    0    0    0
    4:10.220    62555     /    0    0    0
    4:11.068    62767     /    0    0    0
    4:11.872    62968     /    0    0    0
    4:12.680    63170     /    0    0    0
    4:13.488    63372     /    0    0    0
    4:14.288    63572     /    0    0    0
    4:15.132    63783     /    0    0    0
    4:15.988    63997     /    0    0    0
    4:16.860    64215     /    0    0    0
    4:17.684    64421     /    0    0    0
    4:18.472    64618     /    0    0    0
    4:19.300    64825     /    0    0    0
    4:20.108    65027     /    0    0    0
    4:20.928    65232     /    0    0    0
    4:21.780    65445     /    0    0    0
    4:22.632    65658     /    0    0    0
    4:23.472    65868     /    0    0    0
    4:24.272    66068     /    0    0    0
    4:25.052    66263     /    0    0    0
    4:25.888    66472     /    0    0    0
    4:26.716    66679     /    0    0    0
    4:27.560    66890     /    0    0    0
    4:28.416    67104     /    0    0    0
    4:29.260    67315     /    0    0    0
    4:30.084    67521     /    0    0    0
    4:30.872    67718     /    0    0    0
    4:31.660    67915     /    0    0    0
    4:32.512    68128     /    0    0    0
    4:33.356    68339     /    0    0    0
    4:34.196    68549     /    0    0    0
    4:35.036    68759     /    0    0    0
    4:35.856    68964     /    0    0    0
    4:36.668    69167     /    0    0    0
    4:37.460    69365     /    0    0    0
    4:38.264    69566     /    0    0    0
    4:39.140    69785     /    0    0    0
    4:40.004    70001     /    0    0    0
    4:40.824    70206     /    0    0    0
    4:41.648    70412     /    0    0    0
    4:42.460    70615     /    0    0    0
    4:43.272    70818     /    0    0    0
    4:44.068    71017     /    0    0    0
    4:44.896    71224     /    0    0    0
    4:45.780    71445     /    0    0    0
    4:46.624    71656     /    0    0    0
    4:47.436    71859     /    0    0    0
    4:48.236    72059     /    0    0    0
    4:49.048    72262     /    0    0    0
    4:49.860    72465     /    0    0    0
    4:50.680    72670     /    0    0    0
    4:51.544    72886     /    0    0    0
    4:52.416    73104     /    0    0    0
    4:53.244    73311     /    0    0    0
    4:54.044    73511     /    0    0    0
    4:54.892    73723     /    0    0    0
    4:55.648    73912     /    0    0    0
    4:56.472    74118     /    0    0    0
    4:57.312    74328     /    0    0    0
    4:58.172    74543     /    0    0    0
    4:59.032    74758     /    0    0    0
    4:59.844    74961     /    0    0    0
    5:00.636    75159     /    0    0    0
    5:01.436    75359     /    0    0    0
    5:02.272    75568     /    0    0    0
    5:03.124    75781     /    0    0    0
    5:03.960    75990     /    0    0    0
    5:04.824    76206     /    0    0    0
    5:05.660    76415     /    0    0    0
    5:06.504    76626     /    0    0    0
    5:07.236    76809     /    0    0    0
    5:08.044    77011     /    0    0    0
    5:08.888    77222     /    0    0    0
    5:09.744    77436     /    0    0    0
    5:10.584    77646     /    0    0    0
    5:11.436    77859     /    0    0    0
    5:12.252    78063     /    0    0    0
    5:13.040    78260     /    0    0    0
    5:13.852    78463     /    0    0    0
    5:14.676    78669     /    0    0    0
    5:15.544    78886     /    0    0    0
    5:16.396    79099     /    0    0    0
    5:17.224    79306     /    0    0    0
    5:18.052    79513     /    0    0    0
    5:18.852    79713     /    0    0    0
    5:19.644    79911     /    0    0    0
    5:20.464    80116     /    0    0    0
    5:21.308    80327     /    0    0    0
    5:22.188    80547     /    0    0    0
    5:23.036    80759     /    0    0    0
    5:23.836    80959     /    0    0    0
    5:24.660    81165     /    0    0    0
    5:25.472    81368     /    0    0    0
    5:26.268    81567     /    0    0    0
    5:27.112    81778     /    0    0    0
    5:27.960    81990     /    0    0    0
    5:28.828    82207     /    0    0    0
    5:29.644    82411     /    0    0    0
    5:30.428    82607     /    0    0    0
    5:31.260    82815     /    0    0    0
    5:32.072    83018     /    0    0    0
    5:32.888    83222     /    0    0    0
    5:33.752    83438     /    0    0    0
    5:34.608    83652     /    0    0    0
    5:35.452    83863     /    0    0    0
    5:36.308    84077     /    0    0    0
    5:37.036    84259     /    0    0    0
    5:37.872    84468     /    0    0    0
    5:38.700    84675     /    0    0    0
    5:39.536    84884     /    0    0    0
    5:40.384    85096     /    0    0    0
    5:41.224    85306     /    0    0    0
    5:42.048    85512     /    0    0    0
    5:42.836    85709     /    0    0    0
    5:43.628    85907     /    0    0    0
